380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,0.00295242,0.000407678,0.01318752
391,0.003577275,0.000497777,0.01597879
392,0.004332146,0.000606475,0.01935758
393,0.005241609,0.000737004,0.02343758
394,0.006333902,0.000892939,0.02835021
395,0.007641137,0.001078166,0.03424588
396,0.009199401,0.001296816,0.04129467
397,0.01104869,0.001553159,0.04968641
398,0.01323262,0.001851463,0.05962964
399,0.01579791,0.002195795,0.07134926
400,0.01879338,0.002589775,0.08508254
401,0.02226949,0.003036799,0.1010753
402,0.02627978,0.003541926,0.1195838
403,0.03087862,0.004111422,0.1408647
404,0.0361189,0.004752618,0.1651644
405,0.04204986,0.005474207,0.1927065
406,0.04871256,0.006285034,0.2236782
407,0.05612868,0.007188068,0.2582109
408,0.06429866,0.008181786,0.2963632
409,0.07319818,0.009260417,0.3381018
410,0.08277331,0.01041303,0.3832822
411,0.09295327,0.01162642,0.4316884
412,0.1037137,0.01289884,0.483244
413,0.115052,0.01423442,0.5379345
414,0.1269771,0.0156408,0.595774
415,0.1395127,0.01712968,0.6568187
416,0.1526661,0.01871265,0.7210459
417,0.1663054,0.02038394,0.7878635
418,0.1802197,0.02212935,0.8563391
419,0.1941448,0.02392985,0.9253017
420,0.2077647,0.02576133,0.9933444
421,0.2207911,0.02760156,1.059178
422,0.2332355,0.02945513,1.122832
423,0.2452462,0.03133884,1.184947
424,0.2570397,0.03327575,1.246476
425,0.2688989,0.03529554,1.308674
426,0.2810677,0.03742705,1.372628
427,0.2933967,0.03967137,1.437661
428,0.3055933,0.04201998,1.502449
429,0.3173165,0.04446166,1.565456
430,0.3281798,0.04698226,1.62494
431,0.3378678,0.04956742,1.679488
432,0.3465097,0.05221219,1.729668
433,0.3543953,0.05491387,1.776755
434,0.3618655,0.05766919,1.822228
435,0.3693084,0.06047429,1.867751
436,0.3770107,0.06332195,1.914504
437,0.384685,0.06619271,1.961055
438,0.3918591,0.06906185,2.005136
439,0.3980192,0.0719019,2.044296
440,0.4026189,0.07468288,2.075946
441,0.4052637,0.07738452,2.098231
442,0.4062482,0.08003601,2.112591
443,0.406066,0.08268524,2.121427
444,0.4052283,0.08538745,2.127239
445,0.4042529,0.08820537,2.132574
446,0.4034808,0.09118925,2.139093
447,0.4025362,0.09431041,2.144815
448,0.4008675,0.09751346,2.146832
449,0.3979327,0.1007349,2.14225
450,0.3932139,0.103903,2.128264
451,0.3864108,0.1069639,2.103205
452,0.3779513,0.1099676,2.069388
453,0.3684176,0.1129992,2.03003
454,0.3583473,0.1161541,1.988178
455,0.3482214,0.1195389,1.946651
456,0.338383,0.1232503,1.907521
457,0.3288309,0.1273047,1.870689
458,0.3194977,0.1316964,1.835578
459,0.3103345,0.1364178,1.801657
460,0.3013112,0.1414586,1.76844
461,0.2923754,0.1468003,1.735338
462,0.2833273,0.1524002,1.701254
463,0.2739463,0.1582021,1.665053
464,0.2640352,0.16414,1.625712
465,0.2534221,0.1701373,1.582342
466,0.2420135,0.1761233,1.534439
467,0.2299346,0.1820896,1.482544
468,0.2173617,0.1880463,1.427438
469,0.2044672,0.1940065,1.369876
470,0.1914176,0.1999859,1.310576
471,0.1783672,0.2060054,1.250226
472,0.1654407,0.2120981,1.189511
473,0.1527391,0.2183041,1.12905
474,0.1403439,0.2246686,1.069379
475,0.1283167,0.2312426,1.010952
476,0.1167124,0.2380741,0.9541809
477,0.1056121,0.2451798,0.8995253
478,0.09508569,0.2525682,0.847372
479,0.08518206,0.2602479,0.7980093
480,0.0759312,0.2682271,0.7516389
481,0.06733159,0.2765005,0.7082645
482,0.05932018,0.2850035,0.6673867
483,0.05184106,0.2936475,0.6284798
484,0.04486119,0.3023319,0.5911174
485,0.0383677,0.3109438,0.5549619
486,0.03237296,0.3194105,0.5198843
487,0.02692095,0.3278683,0.4862772
488,0.0220407,0.3365263,0.4545497
489,0.01773951,0.3456176,0.4249955
490,0.01400745,0.3554018,0.3978114
491,0.01082291,0.3660893,0.3730218
492,0.008168996,0.3775857,0.3502618
493,0.006044623,0.389696,0.3291407
494,0.004462638,0.4021947,0.3093356
495,0.00344681,0.4148227,0.2905816
